,Open,High,Low,Close,Label
1338,25.14484,25.442862,24.906967,25.191397,1
1339,25.181686,25.48894,24.958752,25.264717,1
1340,25.266954,25.545567,25.009867,25.276989,1
1341,25.186657,25.476303,24.946884,25.230892,1
1342,25.31693,25.593023,25.052567,25.319365,0
1343,25.187923,25.463783,24.928665,25.194483,1
1344,24.9678,25.240984,24.71328,24.976551,1
1345,24.806492,25.099913,24.57745,24.85981,0
1346,24.902405,25.198215,24.671791,24.967228,1
1347,25.099007,25.411034,24.877182,25.188213,0
1348,25.283585,25.59449,25.06343,25.372803,0
1349,25.333597,25.635199,25.104683,25.404137,1
1350,25.546972,25.86054,25.313839,25.623556,1
1351,25.801064,26.11152,25.562817,25.870605,1
1352,25.842255,26.119455,25.575565,25.847733,1
1353,25.823242,26.122799,25.569223,25.868061,0
1354,25.800838,26.08345,25.542837,25.824228,1
1355,25.63137,25.92943,25.391537,25.682121,0
1356,25.80497,26.109663,25.56499,25.869305,0
1357,25.889519,26.203732,25.660507,25.974537,1
1358,25.911385,26.190144,25.639565,25.906782,1
1359,25.745043,26.04913,25.497852,25.794949,0
1360,25.723106,26.020962,25.482216,25.777645,1
1361,25.582336,25.858618,25.301,25.555775,1
1362,25.39136,25.674252,25.141022,25.421638,0
1363,25.438274,25.747393,25.190115,25.495056,1
1364,25.489391,25.766657,25.225294,25.491798,1
1365,25.432854,25.730585,25.194721,25.490284,0
1366,25.446945,25.729265,25.19785,25.476215,1
1367,25.3602,25.64049,25.104527,25.379585,1
1368,25.320131,25.60975,25.079985,25.367367,1
1369,25.289307,25.570698,25.036077,25.304388,1
1370,25.119915,25.393236,24.861366,25.1226,1
1371,25.136433,25.410398,24.872227,25.128485,1
1372,25.031078,25.328485,24.794294,25.088255,1
1373,25.100117,25.38706,24.865295,25.15296,0
1374,25.123413,25.401083,24.869354,25.142677,0
1375,25.268322,25.569746,25.01852,25.316105,0
1376,25.196411,25.466505,24.921715,25.178621,0
1377,25.108416,25.385565,24.853403,25.12845,0
1378,25.104557,25.382227,24.85571,25.132341,0
1379,25.159405,25.4368,24.900398,25.16514,1
1380,24.988855,25.25494,24.71958,24.971745,0
1381,24.815779,25.085983,24.554726,24.812752,0
1382,24.766603,25.084192,24.543861,24.859444,1
1383,24.887924,25.150759,24.611452,24.856215,1
1384,24.583403,24.868393,24.354893,24.637182,0
1385,24.756935,25.081919,24.552715,24.877146,1
1386,25.190468,25.48879,24.958054,25.254711,1
1387,25.320858,25.64464,25.107689,25.429855,1
1388,25.564474,25.866165,25.327581,25.627266,0
1389,25.86656,26.174852,25.625544,25.934116,1
1390,25.944149,26.220337,25.663046,25.923317,1
1391,25.67588,25.9503,25.405418,25.67201,1
